cat,price_band,skus,items,gmv,avg_review,sku_share,gmv_share,gap_ratio,band_verdict
bed_bath_table,中价带(25-50),613,2263,90790.55,3.93,0.1995,0.0887,0.44,供给过密
bed_bath_table,中高价带(50-100),1128,4477,341355.35,3.85,0.3671,0.3335,0.91,均衡
bed_bath_table,低价带(<25),213,879,17106.82,3.85,0.0693,0.0167,0.24,供给过密
bed_bath_table,高价带(100+),1119,3334,574182.04,3.96,0.3641,0.561,1.54,供给不足(机会带)
furniture_decor,中价带(25-50),669,2425,97105.66,3.88,0.2516,0.1364,0.54,供给过密
furniture_decor,中高价带(50-100),810,2975,219705.29,3.96,0.3046,0.3086,1.01,均衡
furniture_decor,低价带(<25),300,791,13538.51,3.88,0.1128,0.019,0.17,供给过密
furniture_decor,高价带(100+),880,1969,381578.23,4.0,0.331,0.536,1.62,供给不足(机会带)
housewares,中价带(25-50),695,1890,70952.24,4.17,0.2941,0.1153,0.39,供给过密
housewares,中高价带(50-100),648,1939,140674.21,4.1,0.2742,0.2285,0.83,均衡
housewares,低价带(<25),410,1119,18866.5,3.99,0.1735,0.0306,0.18,供给过密
housewares,高价带(100+),610,1847,385135.74,4.08,0.2581,0.6256,2.42,供给不足(机会带)
