price_band,price_move,elasticity,gmv_chg_pct,gp_chg_pct,verdict
中价带(25-50),-5%,-0.8,-1.2,-14.6,有提价空间(全弹性假设下毛利正增)
中价带(25-50),-5%,-1.2,0.7,-12.9,有提价空间(全弹性假设下毛利正增)
中价带(25-50),-5%,-1.6,2.6,-11.3,有提价空间(全弹性假设下毛利正增)
中价带(25-50),+0%,-0.8,0.0,0.0,有提价空间(全弹性假设下毛利正增)
中价带(25-50),+0%,-1.2,0.0,0.0,有提价空间(全弹性假设下毛利正增)
中价带(25-50),+0%,-1.6,0.0,0.0,有提价空间(全弹性假设下毛利正增)
中价带(25-50),+5%,-0.8,0.8,13.1,有提价空间(全弹性假设下毛利正增)
中价带(25-50),+5%,-1.2,-1.3,10.8,有提价空间(全弹性假设下毛利正增)
中价带(25-50),+5%,-1.6,-3.4,8.4,有提价空间(全弹性假设下毛利正增)
中高价带(50-100),-5%,-0.8,-1.2,-10.9,有提价空间(全弹性假设下毛利正增)
中高价带(50-100),-5%,-1.2,0.7,-9.1,有提价空间(全弹性假设下毛利正增)
中高价带(50-100),-5%,-1.6,2.6,-7.4,有提价空间(全弹性假设下毛利正增)
中高价带(50-100),+0%,-0.8,0.0,0.0,有提价空间(全弹性假设下毛利正增)
中高价带(50-100),+0%,-1.2,0.0,0.0,有提价空间(全弹性假设下毛利正增)
中高价带(50-100),+0%,-1.6,0.0,0.0,有提价空间(全弹性假设下毛利正增)
中高价带(50-100),+5%,-0.8,0.8,9.7,有提价空间(全弹性假设下毛利正增)
中高价带(50-100),+5%,-1.2,-1.3,7.4,有提价空间(全弹性假设下毛利正增)
中高价带(50-100),+5%,-1.6,-3.4,5.1,有提价空间(全弹性假设下毛利正增)
低价带(<25),-5%,-0.8,-1.2,-22.0,有提价空间(全弹性假设下毛利正增)
低价带(<25),-5%,-1.2,0.7,-20.5,有提价空间(全弹性假设下毛利正增)
低价带(<25),-5%,-1.6,2.6,-19.0,有提价空间(全弹性假设下毛利正增)
低价带(<25),+0%,-0.8,0.0,-0.0,有提价空间(全弹性假设下毛利正增)
低价带(<25),+0%,-1.2,0.0,-0.0,有提价空间(全弹性假设下毛利正增)
低价带(<25),+0%,-1.6,0.0,-0.0,有提价空间(全弹性假设下毛利正增)
低价带(<25),+5%,-0.8,0.8,20.0,有提价空间(全弹性假设下毛利正增)
低价带(<25),+5%,-1.2,-1.3,17.5,有提价空间(全弹性假设下毛利正增)
低价带(<25),+5%,-1.6,-3.4,15.0,有提价空间(全弹性假设下毛利正增)
高价带(100+),-5%,-0.8,-1.2,-9.0,有提价空间(全弹性假设下毛利正增)
高价带(100+),-5%,-1.2,0.7,-7.3,有提价空间(全弹性假设下毛利正增)
高价带(100+),-5%,-1.6,2.6,-5.5,有提价空间(全弹性假设下毛利正增)
高价带(100+),+0%,-0.8,0.0,-0.0,有提价空间(全弹性假设下毛利正增)
高价带(100+),+0%,-1.2,0.0,-0.0,有提价空间(全弹性假设下毛利正增)
高价带(100+),+0%,-1.6,0.0,-0.0,有提价空间(全弹性假设下毛利正增)
高价带(100+),+5%,-0.8,0.8,8.0,有提价空间(全弹性假设下毛利正增)
高价带(100+),+5%,-1.2,-1.3,5.7,有提价空间(全弹性假设下毛利正增)
高价带(100+),+5%,-1.6,-3.4,3.5,有提价空间(全弹性假设下毛利正增)
