source_id,title,publisher,published_at,url,source_tier,notes
S003,收纳用品市场口径汇总,智研咨询,2025,https://www.chyxx.com/industry/1222790.html,secondary,仅作大口径热度旁证
S005,2025年塑料加工业经济运行,新浪财经转行业协会数据,2026-03,https://finance.sina.com.cn/jjxw/2026-03-24/doc-inhsaeyy1834721.shtml,secondary,成熟期量价判断锚点
S007,2025双11日百平台表现,北京日报客户端转艾瑞数据,2025-11,https://news.bjd.com.cn/2025/11/14/11406619.shtml,secondary,平台份额仅作区间旁证
S009,清洁工具线上化率研究,博思数据,2025,https://www.bosidata.com/news/Y6750495Z0.html,research,代理口径
S061,2025年12月份社会消费品零售总额增长0.9%,国家统计局,2026-01,https://www.stats.gov.cn/sj/zxfbhjd/202601/t20260119_1962323.html,official,限额以上日用品类上界
S062,京东发布2025年业绩,新浪科技,2026-03,https://finance.sina.com.cn/tech/roll/2026-03-07/doc-inhqcpvv1936544.shtml,secondary,京东年报数据转述
S092,2025年加力扩围实施大规模设备更新和消费品以旧换新政策,国家发展改革委和财政部,2025-01,https://www.gov.cn/zhengce/zhengceku/202501/content_6997129.htm,official,普通日用百货不在补贴范围
S111,2026年1至5月份社会消费品零售总额增长1.4%,国家统计局,2026-06,https://www.stats.gov.cn/sj/zxfb/202606/t20260616_1963949.html,official,景气度月度更新
S112,京东集团一季度营收3157亿元,新浪科技,2026-05,https://finance.sina.com.cn/tech/roll/2026-05-12/doc-inhxsawi5056362.shtml,secondary,京东2026Q1日百数据
S116,聚丙烯价格行情走势,百川盈孚,2026-03,https://www.baiinfo.com/tongyongsuliao/jubingxililiao,industry_data,存在缓存风险
